Campaign Name,Delivery,Budget,Budget Type,Results,Result Type,Reach,Impressions,Cost / Result,Amount Spent,Ends,Frequency,Campaign ID,Reporting Starts,Reporting Ends
Mountain farmhouse - Video,Active,"₹4,000",Daily,"2,185",Link clicks,"18,420","38,682",₹8.81,"₹19,247.67",Ongoing,2.1,CAM_777HZ0S,7/15/2026,8/13/2026
Black BG with Text - Image,Active,"₹2,000",Daily,"1,247",Link clicks,"12,860","25,720",₹9.45,"₹11,786.32",Ongoing,2,CAM_3M2GTXZ,7/15/2026,8/13/2026
Farmhouse with Text - Image,Active,"₹2,000",Daily,"1,385",Link clicks,"11,940","26,268",₹8.34,"₹11,546.80",Ongoing,2.2,CAM_R0W6TJY,7/15/2026,8/13/2026
125 SFT - Video,Inactive,"₹4,000",Daily,"14,280",Link clicks,"1,64,500","5,09,950",₹9.23,"₹1,31,804.40",Ended,3.1,CAM_MTQGLPV,7/15/2026,8/13/2026
125 SFT - Image,Inactive,"₹1,500",Daily,"2,280",Link clicks,"55,800","1,28,340",₹26.15,"₹59,622.00",Ended,2.3,CAM_IHWXPVJ,7/15/2026,8/13/2026
Thinking Farmhouse,Inactive,"₹2,500",Daily,575,Link clicks,"6,150","12,915",₹8.96,"₹5,152.00",Ended,2.1,CAM_2FPYA9R,7/15/2026,8/13/2026
Funday,Inactive,₹250,Daily,148,Link clicks,"1,720","3,096",₹7.84,"₹1,160.32",Ended,1.8,CAM_6S9ABEN,7/15/2026,8/13/2026
Sp Koil Offer,Inactive,"₹1,500",Daily,224,Link clicks,"2,510","4,267",₹9.42,"₹2,110.08",Ended,1.7,CAM_KT66JCM,7/15/2026,8/13/2026
Own a Farmland Chennai,Inactive,₹750,Daily,176,Link clicks,"1,920","3,840",₹8.73,"₹1,536.48",Ended,2,CAM_93CDUZ2,7/15/2026,8/13/2026
Grab a Farmhouse - Reach,Inactive,"₹1,000",Daily,342,Link clicks,"3,350","7,035",₹8.35,"₹2,855.70",Ended,2.1,CAM_4GIU58V,7/15/2026,8/13/2026
